id,ten_san_pham,danh_muc,gia_ban,gia_goc,so_luong_da_ban,diem_danh_gia,so_luot_nhan_xet,dia_diem_kho,ton_kho,thuong_hieu,link_san_pham,so_luong_ban_trong_ngay,doanh_thu_ngay
2748113965,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Revolution 7 Road Running Shoes - White,Giày chạy bộ nam,1789000,1789000,116,4.6571428571,35,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748113965.html,0,0.0
3133030071,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Run Defy Men's Road Running Shoes,Giày chạy bộ nam,1759000,1759000,37,5.0,14,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3133030071.html,0,0.0
3132909501,Giày thể thao Nike Revolution 8 Men's Road Running Shoes,Giày chạy bộ nam,1909000,1909000,64,5.0,20,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132909501.html,0,0.0
3102028052,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Run Defy - BLACK,Giày chạy bộ nam,1759000,1759000,96,4.7894736842,38,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102028052.html,0,0.0
2995061120,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày Nike Men's Revolution 7 Road Running Shoes - Denim Turquoise,Giày chạy bộ nam,1789000,1789000,88,4.8620689655,29,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2995061120.html,0,0.0
3133088056,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao Nike Downshifter 13 Men's Road Running Shoes,Giày chạy bộ nam,2069000,2069000,72,4.7647058824,34,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3133088056.html,0,0.0
2995060106,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày Nike Men's Downshifter 13 Road Running Shoes - Photon Dust,Giày chạy bộ nam,2069000,2069000,93,4.8709677419,31,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2995060106.html,0,0.0
3215016465,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Nike Uplift SC Men's Shoes - BLUE,Giày chạy bộ nam,1899000,1909000,60,4.7894736842,19,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3215016465.html,0,0.0
2748318312,[VOUCHER 40% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Downshifter 13 Road Running Shoes - Black,Giày chạy bộ nam,2069000,2069000,186,4.9,51,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748318312.html,0,0.0
3214977774,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Nike Downshifter 13 Men's Road Running Shoes - GREY,Giày chạy bộ nam,2069000,2069000,46,5.0,20,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3214977774.html,0,0.0
2994832373,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Run Swift 3 Road Running Shoes - Black,Giày chạy bộ nam,2189000,2189000,152,4.8787878788,33,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994832373.html,0,0.0
2862859949,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Thể Thao Nike Men's Initiator Running Shoes - Metallic Silver,Giày chạy bộ nam,2489000,2489000,94,4.3157894737,19,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2862859949.html,0,0.0
3102005132,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Road Running Nike Quest 6 - GREY,Giày chạy bộ nam,2339000,2339000,53,5.0,21,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102005132.html,0,0.0
2995053161,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Interact Run Road Running Shoes - Armory Navy,Giày chạy bộ nam,2339000,2339000,32,4.6,10,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2995053161.html,0,0.0
3102001132,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Nike Cortez Leather - WHITE,Giày chạy bộ nam,2489000,2489000,51,5.0,17,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102001132.html,0,0.0
3102043021,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày thể thao nam Nike V5 RNR - WHITE,Giày chạy bộ nam,2649000,2649000,35,4.875,8,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102043021.html,0,0.0
2994872328,[VOUCHER 42% + MUA 2 GIẢM 5%] Giày Nike Men's Run Swift 3 Road Running Shoes - Light Armory Blue,Giày chạy bộ nam,2189000,2189000,85,5.0,17,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994872328.html,0,0.0
