snapshot_id,product_id,date_key,snapshot_date,selling_price,original_price,discount_rate,daily_units_sold,daily_revenue,cumulative_units_sold,rating_score,review_count,stock_status,is_in_stock,warehouse_location,day_of_week,is_weekend
2748113965_2026-02-20,2748113965,20260220,2026-02-20,1789000,1789000,0.0,0,0.0,116,4.6571428571,35,Còn hàng,1,Tây Ninh,4,0
3133030071_2026-02-20,3133030071,20260220,2026-02-20,1759000,1759000,0.0,0,0.0,37,5.0,14,Còn hàng,1,Tây Ninh,4,0
3132909501_2026-02-20,3132909501,20260220,2026-02-20,1909000,1909000,0.0,0,0.0,64,5.0,20,Còn hàng,1,Tây Ninh,4,0
3102028052_2026-02-20,3102028052,20260220,2026-02-20,1759000,1759000,0.0,0,0.0,96,4.7894736842,38,Còn hàng,1,Tây Ninh,4,0
2995061120_2026-02-20,2995061120,20260220,2026-02-20,1789000,1789000,0.0,0,0.0,88,4.8620689655,29,Còn hàng,1,Tây Ninh,4,0
3215016465_2026-02-20,3215016465,20260220,2026-02-20,1899000,1909000,0.0052383446830801,0,0.0,60,4.7894736842,19,Còn hàng,1,Tây Ninh,4,0
3133088056_2026-02-20,3133088056,20260220,2026-02-20,2069000,2069000,0.0,0,0.0,72,4.7647058824,34,Còn hàng,1,Tây Ninh,4,0
2995060106_2026-02-20,2995060106,20260220,2026-02-20,2069000,2069000,0.0,0,0.0,93,4.8709677419,31,Còn hàng,1,Tây Ninh,4,0
3102005132_2026-02-20,3102005132,20260220,2026-02-20,2339000,2339000,0.0,0,0.0,53,5.0,20,Còn hàng,1,Tây Ninh,4,0
2862859949_2026-02-20,2862859949,20260220,2026-02-20,2489000,2489000,0.0,0,0.0,94,4.3157894737,19,Còn hàng,1,Tây Ninh,4,0
3102001132_2026-02-20,3102001132,20260220,2026-02-20,2489000,2489000,0.0,0,0.0,51,5.0,17,Còn hàng,1,Tây Ninh,4,0
3214977774_2026-02-20,3214977774,20260220,2026-02-20,2069000,2069000,0.0,0,0.0,46,5.0,20,Còn hàng,1,Tây Ninh,4,0
3101855831_2026-02-20,3101855831,20260220,2026-02-20,2489000,2489000,0.0,0,0.0,23,5.0,9,Còn hàng,1,Tây Ninh,4,0
2748318312_2026-02-20,2748318312,20260220,2026-02-20,2069000,2069000,0.0,0,0.0,186,4.9,51,Còn hàng,1,Tây Ninh,4,0
2994832373_2026-02-20,2994832373,20260220,2026-02-20,2189000,2189000,0.0,0,0.0,152,4.8787878788,33,Còn hàng,1,Tây Ninh,4,0
2748220562_2026-02-20,2748220562,20260220,2026-02-20,2339000,2339000,0.0,0,0.0,75,4.7857142857,14,Còn hàng,1,Tây Ninh,4,0
3102043021_2026-02-20,3102043021,20260220,2026-02-20,2649000,2649000,0.0,1,2649000.0,35,4.875,8,Còn hàng,1,Thành phố Hồ Chí Minh,4,0
2994956266_2026-02-20,2994956266,20260220,2026-02-20,1789000,1789000,0.0,0,0.0,101,4.8695652174,23,Còn hàng,1,Tây Ninh,4,0
2994872328_2026-02-20,2994872328,20260220,2026-02-20,2189000,2189000,0.0,0,0.0,85,5.0,17,Còn hàng,1,Tây Ninh,4,0
3101923573_2026-02-20,3101923573,20260220,2026-02-20,2069000,2069000,0.0,0,0.0,31,5.0,8,Còn hàng,1,Tây Ninh,4,0
2748384119_2026-02-20,2748384119,20260220,2026-02-20,1789000,1789000,0.0,0,0.0,290,4.6666666667,72,Còn hàng,1,Thành phố Hồ Chí Minh,4,0
2994861316_2026-02-20,2994861316,20260220,2026-02-20,2069000,2069000,0.0,0,0.0,64,4.4285714286,14,Còn hàng,1,Tây Ninh,4,0
3133068050_2026-02-20,3133068050,20260220,2026-02-20,1909000,1909000,0.0,0,0.0,24,3.6666666667,9,Còn hàng,1,Tây Ninh,4,0
3132897497_2026-02-20,3132897497,20260220,2026-02-20,2189000,2189000,0.0,0,0.0,36,4.6666666667,11,Còn hàng,1,Tây Ninh,4,0
3101947457_2026-02-20,3101947457,20260220,2026-02-20,2339000,2339000,0.0,0,0.0,14,5.0,7,Còn hàng,1,Tây Ninh,4,0
2748304368_2026-02-20,2748304368,20260220,2026-02-20,1789000,1789000,0.0,0,0.0,108,4.65625,32,Còn hàng,1,Tây Ninh,4,0
3132976303_2026-02-20,3132976303,20260220,2026-02-20,2929000,2929000,0.0,0,0.0,49,5.0,12,Còn hàng,1,Tây Ninh,4,0
2995048159_2026-02-20,2995048159,20260220,2026-02-20,2919000,2919000,0.0,0,0.0,36,5.0,9,Còn hàng,1,Tây Ninh,4,0
3132964358_2026-02-20,3132964358,20260220,2026-02-20,5269000,5269000,0.0,0,0.0,93,4.9666666667,30,Còn hàng,1,Tây Ninh,4,0
2994878315_2026-02-20,2994878315,20260220,2026-02-20,2069000,2069000,0.0,0,0.0,91,4.875,32,Còn hàng,1,Tây Ninh,4,0
3133057059_2026-02-20,3133057059,20260220,2026-02-20,1909000,1909000,0.0,0,0.0,39,4.9523809524,20,Còn hàng,1,Tây Ninh,4,0
2994723478_2026-02-20,2994723478,20260220,2026-02-20,2339000,2339000,0.0,1,2339000.0,64,5.0,2,Còn hàng,1,Thành phố Hồ Chí Minh,4,0
2994757457_2026-02-20,2994757457,20260220,2026-02-20,2339000,2339000,0.0,0,0.0,68,5.0,13,Còn hàng,1,Tây Ninh,4,0
3132951365_2026-02-20,3132951365,20260220,2026-02-20,1909000,1909000,0.0,0,0.0,46,5.0,18,Còn hàng,1,Tây Ninh,4,0
2994642548_2026-02-20,2994642548,20260220,2026-02-20,2929000,2929000,0.0,0,0.0,63,5.0,11,Còn hàng,1,Tây Ninh,4,0
2994913305_2026-02-20,2994913305,20260220,2026-02-20,2339000,2339000,0.0,0,0.0,40,5.0,11,Còn hàng,1,Thành phố Hồ Chí Minh,4,0
3132858912_2026-02-20,3132858912,20260220,2026-02-20,3239000,3239000,0.0,0,0.0,31,5.0,8,Còn hàng,1,Tây Ninh,4,0
2995053161_2026-02-20,2995053161,20260220,2026-02-20,2339000,2339000,0.0,0,0.0,32,4.6,10,Còn hàng,1,Tây Ninh,4,0
3101995180_2026-02-20,3101995180,20260220,2026-02-20,2349000,2349000,0.0,0,0.0,69,5.0,23,Còn hàng,1,Tây Ninh,4,0
