Time,Time Code,Country Name,Country Code,GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Services, value added (% of GDP) [NV.SRV.TOTL.ZS]","GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]",Trade (% of GDP) [NE.TRD.GNFS.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Net ODA received (% of GNI) [DT.ODA.ODAT.GN.ZS],Urban population growth (annual %) [SP.URB.GROW],Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF],"Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.FE.ZS]","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate) [SL.TLF.CACT.MA.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS]
2000,YR2000,Thailand,THA,4.45524704335014,8.49984812084058,36.6694083813627,54.8307434977968,11622.5250278537,121.297955351472,64.840250738685,56.457704612787,2.66312868727133,0.565511331523491,5.37019799578665,37.1860870246041,42.8565836089961,3.10125351,1.064,50.4469588486279,15.027,6.395,65.596,81.711,2.389,1.59196917460972,44.4203036820195,18.4783811264736,37.1013034870525
2000,YR2000,Viet Nam,VNM,6.78731640463151,24.5345819955349,36.7307753268455,38.7346426776196,4349.22348751462,111.417094419512,53.9214970089166,57.4955974105958,4.16392407955693,4.83393543954672,3.39581132286771,37.8836880344628,28.2260657107953,4.10752726,1.073,50.974597431812,18.018,5.486,69.974,77.088,2.26,-1.71033727851109,64.2067524636564,12.0662187889969,23.7270313848897
2001,YR2001,Thailand,THA,3.44424900968372,8.57928745008654,36.3210034946673,55.0997090552462,11901.3182104659,120.267966273533,63.250689756653,57.01727651688,4.21223509530842,0.243178620321182,5.00415244369506,37.3965041398344,43.0386188807767,3.02623773,1.064,50.4730732163937,14.665,6.429,65.255,82.222,2.6,1.62690887314091,42.8217859925596,18.8106325365952,38.3675814708452
2001,YR2001,Viet Nam,VNM,6.19289331233377,23.2410475903552,38.1294216644677,38.6295307451771,4570.26846577385,111.955937998525,55.0619332820827,56.8940047164421,3.97733545270572,3.8949000204821,3.41034144637006,38.3956282747758,30.4831399273522,4.80107498,1.09,51.0052294643632,18.123,5.482,71.493,78.609,2.76,-0.43154451172818,62.9605481381699,13.4973543819823,23.5421050952189
2002,YR2002,Thailand,THA,6.14903605210036,8.6921781801026,36.8944314471526,54.4133903727448,12512.1831324963,114.969743021067,60.6457526009701,54.3239904200966,2.48815301889834,0.229823641321821,4.94504771097881,37.6069212550647,43.2206541525573,3.334723,1.064,50.4942385400952,14.335,6.488,65.107,81.804,1.82,0.697308976625449,42.269683106751,19.5725979213097,38.1577217954719
2002,YR2002,Viet Nam,VNM,6.32082099160833,23.0294421776834,38.4866787864761,38.4838790358405,4809.62151118535,116.696868652499,54.7391336880928,61.9577349644058,3.99268705133996,3.08507058118226,3.42108090106931,38.9788826275962,30.4459829335051,3.87075853,1.07,51.0430256614695,18.095,5.509,70.833,78.296,2.12,3.83082838168467,60.9875981634439,14.2644746609775,24.7479271755786
2003,YR2003,Thailand,THA,7.18924330340971,9.44135495796228,37.9181748920386,52.6404701499991,13287.3048987459,116.692819704865,61.522551633189,55.1702680716755,3.43593984811892,-0.64262026934326,4.82812572112516,37.817338370295,43.4026894243379,3.24312782,1.064,50.5141828736148,14.053,6.53,64.99,81.408,1.54,1.80434994635721,41.4523731706553,19.6641786537252,38.8834481756195
2003,YR2003,Viet Nam,VNM,6.89906349055258,22.5424367056108,39.4700078083864,37.9875554860028,5090.28990869885,124.327954439125,56.6732579147533,67.6546965243715,3.66601229989583,3.94089664268723,3.39881984095249,39.5565130454414,30.7575708710936,3.94229889,1.04,51.0958347289119,18.151,5.564,70.353,78.157,2.25,3.23464817293927,58.611476135845,15.9419360062358,25.4465878579192
2004,YR2004,Thailand,THA,6.28934214285795,9.29111013904814,37.9023024950671,52.8065873658848,13997.0013867292,127.411873720393,65.9718573391185,61.4400163812742,3.38947495269123,0.0313559660249106,4.65897095213515,38.0277554855253,43.5847246961185,3.13893151,1.064,50.5327533993361,13.82,6.692,64.808,81.607,1.51,2.7591492623108,40.8629264504214,19.9699143988443,39.1671591507344
2004,YR2004,Viet Nam,VNM,7.53641060890386,21.8076993514673,40.2087495299221,37.9835511186106,5421.09702829121,133.016497868747,59.7310414143857,73.2854564543616,3.54408107288199,3.7194078561081,3.33889208469533,40.0738026897152,31.5915760957203,4.08791971,1.08,51.1463035791185,17.996,5.73,70.098,78.21,2.14,7.75494748709601,56.8148843283668,16.8415132468136,26.3436096365078
