date,date_key,year,quarter,month_number,month_name,year_month,day_of_month,day_of_week_number,day_of_week_name,is_weekend
2014-08-16,20140816,2014,Q3,8,August,2014-08,16,5,Saturday,1
2014-08-17,20140817,2014,Q3,8,August,2014-08,17,6,Sunday,1
2014-08-18,20140818,2014,Q3,8,August,2014-08,18,0,Monday,0
2014-08-23,20140823,2014,Q3,8,August,2014-08,23,5,Saturday,1
2014-08-24,20140824,2014,Q3,8,August,2014-08,24,6,Sunday,1
2014-08-25,20140825,2014,Q3,8,August,2014-08,25,0,Monday,0
2014-08-29,20140829,2014,Q3,8,August,2014-08,29,4,Friday,0
2014-08-30,20140830,2014,Q3,8,August,2014-08,30,5,Saturday,1
2014-08-31,20140831,2014,Q3,8,August,2014-08,31,6,Sunday,1
2014-09-12,20140912,2014,Q3,9,September,2014-09,12,4,Friday,0
2014-09-13,20140913,2014,Q3,9,September,2014-09,13,5,Saturday,1
2014-09-14,20140914,2014,Q3,9,September,2014-09,14,6,Sunday,1
2014-09-15,20140915,2014,Q3,9,September,2014-09,15,0,Monday,0
2014-09-19,20140919,2014,Q3,9,September,2014-09,19,4,Friday,0
2014-09-20,20140920,2014,Q3,9,September,2014-09,20,5,Saturday,1
2014-09-21,20140921,2014,Q3,9,September,2014-09,21,6,Sunday,1
2014-09-22,20140922,2014,Q3,9,September,2014-09,22,0,Monday,0
2014-09-23,20140923,2014,Q3,9,September,2014-09,23,1,Tuesday,0
2014-09-24,20140924,2014,Q3,9,September,2014-09,24,2,Wednesday,0
2014-09-25,20140925,2014,Q3,9,September,2014-09,25,3,Thursday,0
2014-09-26,20140926,2014,Q3,9,September,2014-09,26,4,Friday,0
2014-09-27,20140927,2014,Q3,9,September,2014-09,27,5,Saturday,1
2014-09-28,20140928,2014,Q3,9,September,2014-09,28,6,Sunday,1
2014-09-29,20140929,2014,Q3,9,September,2014-09,29,0,Monday,0
2014-10-03,20141003,2014,Q4,10,October,2014-10,3,4,Friday,0
2014-10-04,20141004,2014,Q4,10,October,2014-10,4,5,Saturday,1
2014-10-05,20141005,2014,Q4,10,October,2014-10,5,6,Sunday,1
2014-10-17,20141017,2014,Q4,10,October,2014-10,17,4,Friday,0
2014-10-18,20141018,2014,Q4,10,October,2014-10,18,5,Saturday,1
2014-10-19,20141019,2014,Q4,10,October,2014-10,19,6,Sunday,1
2014-10-20,20141020,2014,Q4,10,October,2014-10,20,0,Monday,0
2014-10-24,20141024,2014,Q4,10,October,2014-10,24,4,Friday,0
2014-10-25,20141025,2014,Q4,10,October,2014-10,25,5,Saturday,1
2014-10-26,20141026,2014,Q4,10,October,2014-10,26,6,Sunday,1
2014-10-27,20141027,2014,Q4,10,October,2014-10,27,0,Monday,0
2014-10-31,20141031,2014,Q4,10,October,2014-10,31,4,Friday,0
2014-11-01,20141101,2014,Q4,11,November,2014-11,1,5,Saturday,1
2014-11-02,20141102,2014,Q4,11,November,2014-11,2,6,Sunday,1
2014-11-03,20141103,2014,Q4,11,November,2014-11,3,0,Monday,0
2014-11-07,20141107,2014,Q4,11,November,2014-11,7,4,Friday,0
2014-11-08,20141108,2014,Q4,11,November,2014-11,8,5,Saturday,1
2014-11-09,20141109,2014,Q4,11,November,2014-11,9,6,Sunday,1
2014-11-21,20141121,2014,Q4,11,November,2014-11,21,4,Friday,0
2014-11-22,20141122,2014,Q4,11,November,2014-11,22,5,Saturday,1
2014-11-23,20141123,2014,Q4,11,November,2014-11,23,6,Sunday,1
2014-11-24,20141124,2014,Q4,11,November,2014-11,24,0,Monday,0
2014-11-28,20141128,2014,Q4,11,November,2014-11,28,4,Friday,0
2014-11-29,20141129,2014,Q4,11,November,2014-11,29,5,Saturday,1
2014-11-30,20141130,2014,Q4,11,November,2014-11,30,6,Sunday,1
2014-12-01,20141201,2014,Q4,12,December,2014-12,1,0,Monday,0
2014-12-02,20141202,2014,Q4,12,December,2014-12,2,1,Tuesday,0
2014-12-03,20141203,2014,Q4,12,December,2014-12,3,2,Wednesday,0
2014-12-06,20141206,2014,Q4,12,December,2014-12,6,5,Saturday,1
2014-12-07,20141207,2014,Q4,12,December,2014-12,7,6,Sunday,1
2014-12-08,20141208,2014,Q4,12,December,2014-12,8,0,Monday,0
2014-12-12,20141212,2014,Q4,12,December,2014-12,12,4,Friday,0
2014-12-13,20141213,2014,Q4,12,December,2014-12,13,5,Saturday,1
2014-12-14,20141214,2014,Q4,12,December,2014-12,14,6,Sunday,1
2014-12-15,20141215,2014,Q4,12,December,2014-12,15,0,Monday,0
2014-12-19,20141219,2014,Q4,12,December,2014-12,19,4,Friday,0
2014-12-20,20141220,2014,Q4,12,December,2014-12,20,5,Saturday,1
2014-12-21,20141221,2014,Q4,12,December,2014-12,21,6,Sunday,1
2014-12-22,20141222,2014,Q4,12,December,2014-12,22,0,Monday,0
2014-12-26,20141226,2014,Q4,12,December,2014-12,26,4,Friday,0
2014-12-28,20141228,2014,Q4,12,December,2014-12,28,6,Sunday,1
2014-12-29,20141229,2014,Q4,12,December,2014-12,29,0,Monday,0
2015-01-01,20150101,2015,Q1,1,January,2015-01,1,3,Thursday,0
2015-01-03,20150103,2015,Q1,1,January,2015-01,3,5,Saturday,1
2015-01-04,20150104,2015,Q1,1,January,2015-01,4,6,Sunday,1
2015-01-05,20150105,2015,Q1,1,January,2015-01,5,0,Monday,0
2015-01-09,20150109,2015,Q1,1,January,2015-01,9,4,Friday,0
2015-01-10,20150110,2015,Q1,1,January,2015-01,10,5,Saturday,1
2015-01-11,20150111,2015,Q1,1,January,2015-01,11,6,Sunday,1
2015-01-12,20150112,2015,Q1,1,January,2015-01,12,0,Monday,0
2015-01-16,20150116,2015,Q1,1,January,2015-01,16,4,Friday,0
2015-01-17,20150117,2015,Q1,1,January,2015-01,17,5,Saturday,1
2015-01-18,20150118,2015,Q1,1,January,2015-01,18,6,Sunday,1
2015-01-19,20150119,2015,Q1,1,January,2015-01,19,0,Monday,0
2015-01-24,20150124,2015,Q1,1,January,2015-01,24,5,Saturday,1
2015-01-25,20150125,2015,Q1,1,January,2015-01,25,6,Sunday,1
2015-01-26,20150126,2015,Q1,1,January,2015-01,26,0,Monday,0
