posted_year,country,experience_level,total_jobs,avg_salary_usd,year_total,yoy_growth_pct
2020,Australia,Entry,388,67492.0,1207,
2020,Australia,Mid,401,107653.0,1207,
2020,Australia,Senior,418,157559.0,1207,
2020,Canada,Entry,389,67326.0,1160,
2020,Canada,Mid,390,107842.0,1160,
2020,Canada,Senior,381,157430.0,1160,
2020,Germany,Entry,426,67062.0,1226,
2020,Germany,Mid,428,107241.0,1226,
2020,Germany,Senior,372,157623.0,1226,
2020,India,Entry,402,67378.0,1210,
2020,India,Mid,368,107377.0,1210,
2020,India,Senior,440,157379.0,1210,
2020,UK,Entry,419,67781.0,1214,
2020,UK,Mid,390,107672.0,1214,
2020,UK,Senior,405,157695.0,1214,
2020,USA,Entry,392,67577.0,1188,
2020,USA,Mid,411,107608.0,1188,
2020,USA,Senior,385,157493.0,1188,
2021,Australia,Entry,379,67471.0,1159,-4.0
2021,Australia,Mid,378,107020.0,1159,-4.0
2021,Australia,Senior,402,157815.0,1159,-4.0
2021,Canada,Entry,414,67515.0,1243,7.0
2021,Canada,Mid,412,107934.0,1243,7.0
2021,Canada,Senior,417,157254.0,1243,7.0
2021,Germany,Entry,388,67557.0,1219,-1.0
2021,Germany,Mid,393,107801.0,1219,-1.0
2021,Germany,Senior,438,157287.0,1219,-1.0
2021,India,Entry,405,67605.0,1169,-3.0
2021,India,Mid,367,107439.0,1169,-3.0
2021,India,Senior,397,157831.0,1169,-3.0
2021,UK,Entry,401,67104.0,1201,-1.0
2021,UK,Mid,392,107495.0,1201,-1.0
2021,UK,Senior,408,157535.0,1201,-1.0
2021,USA,Entry,377,67260.0,1137,-4.0
2021,USA,Mid,373,107599.0,1137,-4.0
2021,USA,Senior,387,157234.0,1137,-4.0
2022,Australia,Entry,351,67510.0,1163,0.0
2022,Australia,Mid,410,107843.0,1163,0.0
2022,Australia,Senior,402,157475.0,1163,0.0
2022,Canada,Entry,380,67536.0,1160,-7.0
2022,Canada,Mid,420,107748.0,1160,-7.0
2022,Canada,Senior,360,157800.0,1160,-7.0
2022,Germany,Entry,369,67563.0,1184,-3.0
2022,Germany,Mid,394,107393.0,1184,-3.0
2022,Germany,Senior,421,157680.0,1184,-3.0
2022,India,Entry,434,67489.0,1201,3.0
2022,India,Mid,393,107551.0,1201,3.0
2022,India,Senior,374,157426.0,1201,3.0
2022,UK,Entry,387,67511.0,1199,-0.0
2022,UK,Mid,429,107419.0,1199,-0.0
2022,UK,Senior,383,157491.0,1199,-0.0
2022,USA,Entry,424,67752.0,1228,8.0
2022,USA,Mid,395,107576.0,1228,8.0
2022,USA,Senior,409,157286.0,1228,8.0
2023,Australia,Entry,379,68007.0,1147,-1.0
2023,Australia,Mid,390,107572.0,1147,-1.0
2023,Australia,Senior,378,157841.0,1147,-1.0
2023,Canada,Entry,391,67676.0,1182,2.0
2023,Canada,Mid,361,107414.0,1182,2.0
2023,Canada,Senior,430,157381.0,1182,2.0
2023,Germany,Entry,387,67740.0,1173,-1.0
2023,Germany,Mid,398,107596.0,1173,-1.0
2023,Germany,Senior,388,157203.0,1173,-1.0
2023,India,Entry,403,67428.0,1174,-2.0
2023,India,Mid,373,107486.0,1174,-2.0
2023,India,Senior,398,157764.0,1174,-2.0
2023,UK,Entry,386,67482.0,1182,-1.0
2023,UK,Mid,400,107313.0,1182,-1.0
2023,UK,Senior,396,157398.0,1182,-1.0
2023,USA,Entry,364,67259.0,1177,-4.0
2023,USA,Mid,412,107451.0,1177,-4.0
2023,USA,Senior,401,157643.0,1177,-4.0
2024,Australia,Entry,423,67467.0,1242,8.0
2024,Australia,Mid,400,107456.0,1242,8.0
2024,Australia,Senior,419,157167.0,1242,8.0
2024,Canada,Entry,439,67240.0,1254,6.0
2024,Canada,Mid,428,107521.0,1254,6.0
2024,Canada,Senior,387,157567.0,1254,6.0
2024,Germany,Entry,424,67416.0,1200,2.0
2024,Germany,Mid,374,107405.0,1200,2.0
2024,Germany,Senior,402,157273.0,1200,2.0
2024,India,Entry,418,67878.0,1200,2.0
2024,India,Mid,426,107444.0,1200,2.0
2024,India,Senior,356,157337.0,1200,2.0
2024,UK,Entry,394,66958.0,1220,3.0
2024,UK,Mid,397,107429.0,1220,3.0
2024,UK,Senior,429,157451.0,1220,3.0
2024,USA,Entry,369,67128.0,1196,2.0
2024,USA,Mid,416,107443.0,1196,2.0
2024,USA,Senior,411,157666.0,1196,2.0
2025,Australia,Entry,377,67531.0,1155,-7.0
2025,Australia,Mid,408,107350.0,1155,-7.0
2025,Australia,Senior,370,157417.0,1155,-7.0
2025,Canada,Entry,368,67301.0,1094,-13.0
2025,Canada,Mid,375,107283.0,1094,-13.0
2025,Canada,Senior,351,157614.0,1094,-13.0
2025,Germany,Entry,403,67507.0,1180,-2.0
2025,Germany,Mid,374,107491.0,1180,-2.0
2025,Germany,Senior,403,157397.0,1180,-2.0
2025,India,Entry,395,67758.0,1205,0.0
2025,India,Mid,404,107479.0,1205,0.0
2025,India,Senior,406,157585.0,1205,0.0
2025,UK,Entry,397,67182.0,1230,1.0
2025,UK,Mid,427,107588.0,1230,1.0
2025,UK,Senior,406,157928.0,1230,1.0
2025,USA,Entry,397,67241.0,1179,-1.0
2025,USA,Mid,408,107692.0,1179,-1.0
2025,USA,Senior,374,157455.0,1179,-1.0
2026,Australia,Entry,392,67741.0,1203,4.0
2026,Australia,Mid,396,107667.0,1203,4.0
2026,Australia,Senior,415,157338.0,1203,4.0
2026,Canada,Entry,417,67540.0,1210,11.0
2026,Canada,Mid,417,107631.0,1210,11.0
2026,Canada,Senior,376,157437.0,1210,11.0
2026,Germany,Entry,381,67205.0,1163,-1.0
