id,ten_san_pham,danh_muc,gia_ban,gia_goc,so_luong_da_ban,diem_danh_gia,so_luot_nhan_xet,dia_diem_kho,ton_kho,thuong_hieu,link_san_pham,so_luong_ban_trong_ngay,doanh_thu_ngay
2748331243,[GIẢM ĐẾN 50%] Giày Thể Thao Nike Men's Interact Run Road Running Shoes - White,Giày chạy bộ nam,2349000,2349000,41,5.0,9,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748331243.html,0,0.0
3132921404,[GIẢM ĐẾN 50%] Giày thể thao Nike Winflo 11 Men's Road Running Shoes,Giày chạy bộ nam,2929000,2929000,23,5.0,4,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132921404.html,0,0.0
2994864340,[GIẢM ĐẾN 50%] Giày Nike Men's React Phantom Run Flyknit 2 Road Running Shoes - Iron Grey,Giày chạy bộ nam,4109000,4109000,36,5.0,8,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994864340.html,0,0.0
3101909586,[GIẢM ĐẾN 50%] Giày thể thao nam Road Running Nike Interact Run - WHITE,Giày chạy bộ nam,2349000,2349000,48,5.0,5,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3101909586.html,0,0.0
3133029093,[GIẢM ĐẾN 50%] Giày thể thao Nike Winflo 11 Men's Road Running Shoes,Giày chạy bộ nam,2929000,2929000,19,4.9,10,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3133029093.html,0,0.0
2862903671,[GIẢM ĐẾN 50%] Giày Thể Thao Nike Men's Interact Run Road Running Shoes - Astronomy Blue,Giày chạy bộ nam,2349000,2349000,20,5.0,3,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2862903671.html,0,0.0
3307938371,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Revolution 8 Men's Road Running Shoes - WHITE,Giày chạy bộ nam,1909000,1909000,0,5.0,1,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307938371.html,0,0.0
2748220562,[GIẢM ĐẾN 50%] Giày Thể Thao Nike Men's Interact Run Road Running Shoes - Black,Giày chạy bộ nam,2349000,2349000,80,4.785714285714286,14,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748220562.html,0,0.0
3307974062,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Air Max 90 Men's Shoes - WHITE,Giày chạy bộ nam,3519000,3519000,0,5.0,1,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307974062.html,0,0.0
2995053161,[GIẢM ĐẾN 50%] Giày Nike Men's Interact Run Road Running Shoes - Armory Navy,Giày chạy bộ nam,2349000,2349000,36,4.333333333333333,12,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2995053161.html,0,0.0
3102005132,[GIẢM ĐẾN 50%] Giày thể thao nam Road Running Nike Quest 6 - GREY,Giày chạy bộ nam,2349000,2349000,55,5.0,21,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102005132.html,1,2349000.0
2994872328,[GIẢM ĐẾN 50%] Giày Nike Men's Run Swift 3 Road Running Shoes - Light Armory Blue,Giày chạy bộ nam,2189000,2189000,87,5.0,17,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994872328.html,0,0.0
3307899561,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Winflo 11 Men's Road Running Shoes - WHITE,Giày chạy bộ nam,2929000,2929000,0,5.0,1,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307899561.html,0,0.0
3101855831,[GIẢM ĐẾN 50%] Giày thể thao nam Nike Cortez Leather - WHITE,Giày chạy bộ nam,2499000,2499000,25,5.0,11,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3101855831.html,0,0.0
3307944370,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Quest 6 Men's Road Running Shoes - BLACK,Giày chạy bộ nam,2349000,2349000,0,5.0,1,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307944370.html,0,0.0
3102041023,[GIẢM ĐẾN 50%] Giày thể thao nam Road Running Nike Interact Run EasyOn - BLACK,Giày chạy bộ nam,2349000,2349000,40,5.0,7,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102041023.html,3,7047000.0
2994832373,[GIẢM ĐẾN 50%] Giày Nike Men's Run Swift 3 Road Running Shoes - Black,Giày chạy bộ nam,2189000,2189000,154,4.878787878787879,33,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994832373.html,0,0.0
3307869791,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Air Max 90 Men's Shoes - BLACK,Giày chạy bộ nam,3519000,3519000,14,5.0,3,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307869791.html,0,0.0
3102043021,[GIẢM ĐẾN 50%] Giày thể thao nam Nike V5 RNR - WHITE,Giày chạy bộ nam,2649000,2649000,40,4.875,8,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102043021.html,2,5298000.0
2994977252,[GIẢM ĐẾN 50%] Giày Nike Men's Winflo 11 Road Running Shoes - Light Armory Blue,Giày chạy bộ nam,2929000,2929000,60,5.0,9,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994977252.html,0,0.0
3307906547,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Air Max Excee Men's Shoes - BLACK,Giày chạy bộ nam,2929000,2929000,0,,,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307906547.html,0,0.0
2994913305,[GIẢM ĐẾN 50%] Giày Nike Men's Interact Run EasyOn Road Running Shoes - Phantom,Giày chạy bộ nam,2349000,2349000,46,5.0,14,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994913305.html,0,0.0
2994642548,[GIẢM ĐẾN 50%] Giày Nike Men's Winflo 11 Road Running Shoes - White,Giày chạy bộ nam,2929000,2929000,66,5.0,12,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994642548.html,0,0.0
3132976303,[GIẢM ĐẾN 50%] Giày thể thao Nike Air Max Excee Men's Shoes,Giày chạy bộ nam,2929000,2929000,52,5.0,13,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132976303.html,0,0.0
3101947457,[GIẢM ĐẾN 50%] Giày thể thao nam Road Running Nike Interact Run EasyOn - WHITE,Giày chạy bộ nam,2349000,2349000,20,5.0,7,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3101947457.html,1,2349000.0
3307909560,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Metro Tek Men's Shoes - LIGHT ARMY,Giày chạy bộ nam,2349000,2349000,0,5.0,1,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307909560.html,0,0.0
3307861845,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Journey Run Men's Road Running Shoes - WHITE,Giày chạy bộ nam,2649000,2649000,0,,,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307861845.html,0,0.0
3307898598,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Revolution 8 Men's Road Running Shoes (Extra Wide) - BLACK,Giày chạy bộ nam,1909000,1909000,0,,,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307898598.html,0,0.0
3307932422,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Air Max Invigor Men's Shoes - WHITE,Giày chạy bộ nam,2779000,2779000,0,5.0,1,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307932422.html,0,0.0
3132897497,[GIẢM ĐẾN 50%] Giày thể thao Nike Run Swift 3 Men's Road Running Shoes,Giày chạy bộ nam,2189000,2189000,36,4.666666666666667,12,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132897497.html,0,0.0
3102009089,[GIẢM ĐẾN 50%] Giày thể thao nam Road Running Nike Structure 25 - WHITE,Giày chạy bộ nam,3829000,3829000,21,5.0,3,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102009089.html,0,0.0
3307947401,[GIẢM ĐẾN 50%] Giày thể thao Nam Nike Metro Tek Men's Shoes - SANDDRFIT,Giày chạy bộ nam,2349000,2349000,0,,,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3307947401.html,0,0.0
3132902506,[GIẢM ĐẾN 50%] Giày thể thao Nike V5 RNR Men's Shoes,Giày chạy bộ nam,2649000,2649000,49,4.75,12,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132902506.html,0,0.0
2994989248,[GIẢM ĐẾN 50%] Giày Nike Men's Downshifter 13 Road Running Shoes - Gym Red,Giày chạy bộ nam,2069000,2069000,17,5.0,5,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994989248.html,0,0.0
2995061120,[GIẢM ĐẾN 50%] Giày Nike Men's Revolution 7 Road Running Shoes - Denim Turquoise,Giày chạy bộ nam,1789000,1789000,90,4.870967741935484,31,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2995061120.html,0,0.0
3102026069,[GIẢM ĐẾN 50%] Giày thể thao nam Road Running Nike Interact Run - GREY,Giày chạy bộ nam,2349000,2349000,10,5.0,5,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102026069.html,0,0.0
3132956392,[GIẢM ĐẾN 50%] Giày thể thao Nike Air Max Excee Men's Shoes,Giày chạy bộ nam,2929000,2929000,58,4.9375,15,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132956392.html,1,2929000.0
3133030071,[GIẢM ĐẾN 50%] Giày thể thao Nike Run Defy Men's Road Running Shoes,Giày chạy bộ nam,1759000,1759000,40,5.0,15,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3133030071.html,1,1759000.0
3102026070,[GIẢM ĐẾN 50%] Giày thể thao nam Road Running Nike Interact Run - ORANGE,Giày chạy bộ nam,2349000,2349000,17,4.833333333333333,6,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3102026070.html,1,2349000.0
3132909501,[GIẢM ĐẾN 50%] Giày thể thao Nike Revolution 8 Men's Road Running Shoes,Giày chạy bộ nam,1909000,1909000,78,5.0,26,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3132909501.html,3,5727000.0
3133066061,[GIẢM ĐẾN 50%] Giày thể thao Nike LD-1000 Men's Shoes,Giày chạy bộ nam,2929000,2929000,10,5.0,3,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i3133066061.html,0,0.0
2748397074,[GIẢM ĐẾN 50%] Giày Thể Thao Nike Men's Revolution 7 (Extra Wide) Road Running Shoes - Black,Giày chạy bộ nam,1789000,1789000,98,4.809523809523809,21,Thành phố Hồ Chí Minh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2748397074.html,0,0.0
2994792411,[GIẢM ĐẾN 50%] Giày Nike Men's Structure 25 Road Running Shoes - Hyper Royal,Giày chạy bộ nam,3829000,3829000,30,5.0,6,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994792411.html,0,0.0
2994642547,[GIẢM ĐẾN 50%] Giày Nike Men's Free 2025 Running Shoes - Medium Olive,Giày chạy bộ nam,2929000,2929000,77,4.85,20,Tây Ninh,Còn hàng,Nike,https://www.lazada.vn/products/pdp-i2994642547.html,1,2929000.0
